fecha,año,mes,ciudad_origen,ciudad_destino,tipo_transporte,tipo_carga,empresa_transportadora,peso_kg,distancia_km,tiempo_planificado_horas,tiempo_real_horas,retraso_horas,costo_cop,estado_entrega,temperatura_celsius,numero_paradas,calificacion_servicio
2023-09-22,2023,9,Popayán,Bucaramanga,Marítimo,General,ExpressTrans,25405.41,1433.7,55.3,71.2,15.9,64182136,Retrasado,,0,2.0
2022-02-15,2022,2,Manizales,Villavicencio,Aéreo,Líquidos,LogiCosta,15117.4,747.9,2.0,2.0,0.0,74065206,En Tránsito,,0,4.7
2022-08-10,2022,8,Santa Marta,Ibagué,Aéreo,Líquidos,TransAndino,39707.4,1159.8,6.4,8.1,1.7,241049448,Entregado,,0,4.1
2020-07-10,2020,7,Armenia,Villavicencio,Aéreo,Peligrosa,MoviCarga,40347.49,347.4,2.3,3.4,1.1,128979482,Entregado,,0,4.0
2024-12-19,2024,12,Manizales,Pasto,Aéreo,Sobredimensionada,TransAndino,20042.68,347.6,6.1,8.7,2.6,88118071,Entregado,,0,3.3
2021-03-24,2021,3,Cali,Armenia,Fluvial,General,CargoRápido,12534.99,701.4,39.4,53.6,14.2,37908015,Entregado,,0,1.9
2024-03-26,2024,3,Popayán,Santa Marta,Fluvial,Líquidos,TransAndino,44870.68,633.4,40.5,39.7,0.0,52040951,Entregado,,0,4.8
2022-12-03,2022,12,Santa Marta,Neiva,Aéreo,Peligrosa,TransAndino,3966.42,485.7,3.6,3.7,0.1,11680755,Entregado,,0,3.7
2023-11-22,2023,11,Cali,Villavicencio,Aéreo,General,LogiNorte,20439.21,742.6,4.5,4.3,0.0,113179345,Entregado,,0,4.6
2023-11-25,2023,11,Bogotá,Popayán,Fluvial,Sobredimensionada,TransColombia S.A.,47142.81,344.1,35.4,50.4,15.0,64610747,Retrasado,,0,2.1
2024-06-26,2024,6,Pasto,Barranquilla,Fluvial,Refrigerada,ExpressTrans,21848.22,168.9,32.2,41.1,8.9,6495205,Entregado,1.1,0,1.2
2023-06-28,2023,6,Ibagué,Bogotá,Fluvial,Líquidos,LogiCosta,33183.69,204.6,37.7,53.0,15.3,8164882,Entregado,,0,1.5
2022-07-20,2022,7,Bucaramanga,Pereira,Fluvial,Peligrosa,LogiNorte,12688.35,203.2,13.2,15.5,2.3,10440896,Entregado,,0,3.2
2024-05-18,2024,5,Manizales,Bogotá,Terrestre,Refrigerada,MoviCarga,41977.52,950.9,19.2,21.7,2.5,31373256,Entregado,7.3,3,3.2
2024-04-19,2024,4,Bucaramanga,Cali,Terrestre,Refrigerada,ExpressTrans,5494.13,87.2,1.7,2.2,0.5,1387167,Entregado,0.2,5,3.7
2023-04-27,2023,4,Neiva,Popayán,Aéreo,General,ExpressTrans,42529.63,800.4,2.7,4.0,1.3,308941233,Entregado,,0,3.9
2022-01-28,2022,1,Medellín,Pasto,Marítimo,General,LogiNorte,41134.31,479.4,116.2,144.7,28.5,65681455,Retrasado,,0,1.7
2024-02-11,2024,2,Ibagué,Neiva,Marítimo,Líquidos,CargoRápido,38754.61,1090.3,103.3,125.5,22.2,53620512,En Tránsito,,0,2.4
2021-07-25,2021,7,Popayán,Santa Marta,Aéreo,Sobredimensionada,LogiCosta,30555.55,579.0,2.2,3.1,0.9,57830120,Retrasado,,0,4.3
2021-11-28,2021,11,Cartagena,Manizales,Marítimo,Líquidos,TransColombia S.A.,25879.7,624.8,47.2,51.2,4.0,29557360,Retrasado,,0,3.0
2023-12-28,2023,12,Santa Marta,Ibagué,Terrestre,General,ExpressTrans,11157.66,1053.1,20.2,24.4,4.2,19777249,Entregado,,4,2.8
2024-03-07,2024,3,Ibagué,Bucaramanga,Marítimo,Sobredimensionada,ExpressTrans,15400.49,691.9,93.2,95.1,1.9,36812430,Retrasado,,0,4.2
2021-01-27,2021,1,Barranquilla,Villavicencio,Fluvial,Peligrosa,LogiCosta,48832.69,491.0,29.0,25.2,0.0,28998364,Entregado,,0,4.2
2020-01-29,2020,1,Neiva,Ibagué,Aéreo,Peligrosa,TransColombia S.A.,48717.32,753.4,6.2,5.5,0.0,390375509,Entregado,,0,4.9
2023-03-21,2023,3,Cartagena,Ibagué,Fluvial,Sobredimensionada,CargaSur,9299.75,183.4,68.5,77.7,9.2,6104612,Entregado,,0,1.1
2023-07-13,2023,7,Manizales,Bogotá,Aéreo,Refrigerada,LogiCosta,47461.37,285.2,3.5,4.2,0.7,87413949,Entregado,3.0,0,4.3
2022-02-18,2022,2,Santa Marta,Ibagué,Marítimo,Líquidos,LogiNorte,15338.47,1355.7,82.5,108.7,26.2,56404239,Entregado,,0,1.3
2023-09-14,2023,9,Medellín,Barranquilla,Aéreo,Refrigerada,CargoRápido,3845.74,202.7,4.7,5.7,1.0,3315362,Entregado,4.2,0,4.2
2022-07-18,2022,7,Medellín,Neiva,Aéreo,Peligrosa,LogiCosta,33093.03,1133.7,4.6,5.4,0.8,382951792,En Tránsito,,0,4.3
2020-05-26,2020,5,Bogotá,Barranquilla,Marítimo,Líquidos,LogiCosta,46067.51,1046.6,69.0,69.9,0.9,71939078,Entregado,,0,4.0
2022-06-15,2022,6,Medellín,Manizales,Terrestre,Sobredimensionada,CargaSur,30225.31,87.5,1.8,2.3,0.5,7011911,Entregado,,4,4.5
2024-04-15,2024,4,Manizales,Popayán,Marítimo,Líquidos,TransColombia S.A.,38179.14,597.8,73.8,81.9,8.1,40866171,Entregado,,0,1.7
2024-07-25,2024,7,Santa Marta,Medellín,Fluvial,Peligrosa,LogiNorte,16732.09,585.6,63.5,65.5,2.0,28200677,Entregado,,0,4.4
2024-07-24,2024,7,Villavicencio,Ibagué,Terrestre,Sobredimensionada,LogiExpress,15794.41,518.7,6.6,7.1,0.5,14635933,En Tránsito,,0,4.2
2023-01-16,2023,1,Santa Marta,Pereira,Terrestre,Refrigerada,CargoRápido,18152.79,1146.8,17.6,23.4,5.8,21002805,Entregado,2.1,2,2.9
2023-12-01,2023,12,Santa Marta,Medellín,Terrestre,Líquidos,MoviCarga,35518.16,500.6,12.3,13.4,1.1,18878359,Devuelto,,0,4.0
2020-08-28,2020,8,Manizales,Popayán,Aéreo,Sobredimensionada,ExpressTrans,25492.71,473.4,7.0,10.4,3.4,54923187,En Tránsito,,0,2.9
2023-05-12,2023,5,Ibagué,Villavicencio,Aéreo,General,ExpressTrans,38656.49,1054.4,4.0,5.4,1.4,143056826,Entregado,,0,4.2
2024-09-11,2024,9,Pasto,Manizales,Fluvial,Refrigerada,TransAndino,26975.17,374.3,45.1,53.2,8.1,21865130,Entregado,-2.5,0,2.0
2023-03-17,2023,3,Pereira,Barranquilla,Fluvial,General,CargaSur,37260.79,608.4,60.7,65.0,4.3,89122695,En Tránsito,,0,3.5
2022-10-11,2022,10,Bogotá,Barranquilla,Marítimo,General,TransAndino,5075.61,1847.8,25.5,23.0,0.0,37136827,Entregado,,0,4.1
2024-05-19,2024,5,Cartagena,Pereira,Fluvial,General,CargaSur,42631.83,708.6,34.8,35.6,0.8,122073703,Entregado,,0,4.4
2020-03-14,2020,3,Pasto,Medellín,Aéreo,Peligrosa,MoviCarga,37363.64,634.0,2.6,3.2,0.6,246923411,En Tránsito,,0,4.2
2020-02-29,2020,2,Bogotá,Pereira,Terrestre,Peligrosa,CargaSur,18804.57,261.1,4.3,5.1,0.8,12182862,Entregado,,1,3.7
2023-06-02,2023,6,Armenia,Pereira,Aéreo,Sobredimensionada,LogiCosta,7241.57,661.1,3.5,3.4,0.0,11551624,Entregado,,0,4.9
2023-10-19,2023,10,Ibagué,Cali,Terrestre,Sobredimensionada,CargaSur,49383.82,483.8,6.2,8.0,1.8,39232626,Entregado,,2,3.7
2022-02-26,2022,2,Armenia,Santa Marta,Terrestre,Refrigerada,LogiNorte,28638.94,883.5,11.1,11.2,0.1,74512361,Retrasado,3.6,2,3.5
2024-11-06,2024,11,Manizales,Armenia,Terrestre,Líquidos,TransAndino,41658.66,1359.3,19.1,18.4,0.0,141840042,Entregado,,1,4.6
2023-06-25,2023,6,Cartagena,Neiva,Aéreo,General,TransColombia S.A.,15515.75,640.8,5.5,7.2,1.7,25891317,Entregado,,0,4.2
2020-12-25,2020,12,Barranquilla,Cali,Marítimo,Líquidos,CargoRápido,45683.0,1711.8,48.7,67.1,18.4,181895519,Entregado,,0,2.1
2021-11-24,2021,11,Villavicencio,Medellín,Fluvial,General,CargoNacional,37732.16,296.6,52.6,66.9,14.3,30850910,Entregado,,0,1.8
2020-07-03,2020,7,Villavicencio,Pereira,Terrestre,Peligrosa,CargoRápido,6267.08,584.4,8.4,8.3,0.0,5319988,Entregado,,5,4.9
2020-08-09,2020,8,Manizales,Barranquilla,Fluvial,General,LogiCosta,44223.32,514.9,66.9,63.9,0.0,27328679,Entregado,,0,4.9
2021-09-10,2021,9,Manizales,Pereira,Terrestre,Refrigerada,TransColombia S.A.,47318.45,491.3,8.2,7.1,0.0,63190300,Entregado,-3.2,3,4.4
2024-03-01,2024,3,Neiva,Ibagué,Fluvial,Líquidos,CargoNacional,44282.15,575.7,62.0,76.3,14.3,92903203,Retrasado,,0,2.0
2021-03-20,2021,3,Santa Marta,Ibagué,Aéreo,Peligrosa,LogiExpress,49048.29,567.3,7.4,9.3,1.9,64374201,Entregado,,0,4.5
2024-10-02,2024,10,Armenia,Santa Marta,Terrestre,Refrigerada,LogiCosta,48557.56,123.3,2.3,3.4,1.1,14772958,Entregado,-2.3,4,3.7
2021-03-18,2021,3,Armenia,Popayán,Aéreo,Peligrosa,CargoNacional,39453.32,796.0,3.7,5.5,1.8,380440080,Entregado,,0,4.3
2020-08-13,2020,8,Manizales,Popayán,Terrestre,Refrigerada,TransColombia S.A.,17976.29,1193.2,18.8,15.2,0.0,24954529,En Tránsito,-3.4,3,4.5
2024-03-07,2024,3,Medellín,Ibagué,Fluvial,Peligrosa,CargoRápido,29723.93,443.8,25.3,31.1,5.8,58368231,Entregado,,0,3.2
2021-09-09,2021,9,Santa Marta,Neiva,Terrestre,General,TransAndino,42380.2,668.1,15.1,19.6,4.5,45554900,En Tránsito,,0,2.8
2020-10-30,2020,10,Medellín,Barranquilla,Marítimo,Líquidos,LogiCosta,27462.99,852.8,119.5,140.0,20.5,46841819,Entregado,,0,1.1
2023-12-08,2023,12,Medellín,Popayán,Aéreo,Sobredimensionada,TransAndino,44415.74,613.8,7.0,7.6,0.6,229681148,Entregado,,0,3.8
2021-06-06,2021,6,Bucaramanga,Cali,Fluvial,General,LogiExpress,41605.42,210.6,17.8,23.4,5.6,34493942,Entregado,,0,3.1
2023-02-24,2023,2,Ibagué,Bucaramanga,Terrestre,Sobredimensionada,CargaSur,43693.01,1414.6,24.9,35.9,11.0,38853531,Entregado,,2,1.9
2021-12-21,2021,12,Medellín,Manizales,Aéreo,Refrigerada,TransAndino,11289.82,308.2,7.1,7.5,0.4,34735036,Entregado,5.5,0,4.3
2024-04-20,2024,4,Armenia,Pasto,Terrestre,Líquidos,ExpressTrans,1544.76,446.2,6.3,9.1,2.8,949512,Entregado,,1,3.4
2023-03-05,2023,3,Manizales,Pereira,Terrestre,Refrigerada,TransColombia S.A.,4678.71,819.2,14.9,16.7,1.8,3424695,Entregado,-0.9,2,4.3
2023-03-08,2023,3,Pasto,Medellín,Terrestre,Refrigerada,CargoNacional,37746.35,122.2,2.8,3.1,0.3,7195833,Entregado,2.9,3,3.8
2024-03-26,2024,3,Ibagué,Medellín,Marítimo,Sobredimensionada,LogiExpress,14234.0,1453.4,70.7,89.6,18.9,13666139,Entregado,,0,1.9
2020-01-16,2020,1,Barranquilla,Bucaramanga,Aéreo,Refrigerada,ExpressTrans,14543.41,320.0,5.0,5.5,0.5,15569524,Retrasado,-2.0,0,4.1
2023-09-30,2023,9,Villavicencio,Bucaramanga,Terrestre,Sobredimensionada,TransColombia S.A.,21867.36,716.6,16.6,16.9,0.3,24652448,Entregado,,3,4.2
2022-05-05,2022,5,Cartagena,Medellín,Fluvial,General,CargaSur,8676.47,765.9,39.6,50.8,11.2,13410571,Entregado,,0,1.2
2022-06-11,2022,6,Pasto,Pereira,Terrestre,Sobredimensionada,ExpressTrans,37315.66,371.3,5.2,4.4,0.0,28861454,En Tránsito,,4,4.5
2024-05-08,2024,5,Bucaramanga,Pereira,Aéreo,Refrigerada,LogiExpress,7407.57,397.3,5.6,7.5,1.9,21113480,Entregado,5.0,0,4.0
2024-03-25,2024,3,Pasto,Armenia,Fluvial,Líquidos,LogiCosta,16228.09,781.1,31.0,34.3,3.3,34581628,Entregado,,0,3.3
2023-04-26,2023,4,Bogotá,Pereira,Terrestre,Peligrosa,TransAndino,22650.5,132.5,1.8,1.5,0.0,7985045,Entregado,,0,4.6
2022-11-04,2022,11,Pereira,Ibagué,Terrestre,Sobredimensionada,LogiCosta,32626.69,516.2,8.7,7.9,0.0,11026125,Entregado,,0,4.8
2024-09-10,2024,9,Bucaramanga,Villavicencio,Terrestre,Líquidos,CargoNacional,2053.19,1076.1,13.5,15.8,2.3,4473037,Retrasado,,2,2.9
2021-08-02,2021,8,Pereira,Santa Marta,Marítimo,Líquidos,TransColombia S.A.,39482.42,1400.4,30.3,26.2,0.0,121283370,En Tránsito,,0,4.7
2023-09-06,2023,9,Popayán,Pasto,Aéreo,Peligrosa,LogiExpress,29178.7,341.4,4.1,6.1,2.0,84668008,Entregado,,0,4.1
2020-06-22,2020,6,Cartagena,Pasto,Fluvial,Peligrosa,CargoNacional,33538.81,688.8,56.3,72.1,15.8,69054030,Retrasado,,0,1.6
2022-01-11,2022,1,Bogotá,Pereira,Marítimo,Refrigerada,MoviCarga,17152.44,1602.5,42.4,63.6,21.2,24562818,En Tránsito,5.2,0,1.8
2023-01-10,2023,1,Armenia,Neiva,Terrestre,Peligrosa,LogiCosta,6639.35,596.2,12.8,17.7,4.9,9609937,Entregado,,1,3.2
2020-03-30,2020,3,Pereira,Bucaramanga,Aéreo,Sobredimensionada,LogiCosta,14317.9,948.5,4.7,5.5,0.8,79865032,Retrasado,,0,4.0
2024-09-06,2024,9,Barranquilla,Pereira,Fluvial,Sobredimensionada,ExpressTrans,38928.39,476.9,37.1,33.9,0.0,29767984,Entregado,,0,4.9
2020-04-16,2020,4,Manizales,Santa Marta,Marítimo,Líquidos,LogiExpress,35598.91,1177.0,36.0,30.9,0.0,42065060,En Tránsito,,0,4.5
2024-08-28,2024,8,Pereira,Medellín,Aéreo,Sobredimensionada,CargaSur,46530.55,614.9,4.4,4.7,0.3,132626877,Retrasado,,0,3.7
2021-10-14,2021,10,Popayán,Medellín,Marítimo,Refrigerada,CargoNacional,2011.33,1859.6,69.4,95.9,26.5,10116815,Entregado,3.0,0,2.4
2020-02-08,2020,2,Cartagena,Barranquilla,Aéreo,Líquidos,LogiCosta,26435.8,311.2,3.7,3.7,0.0,19564849,Entregado,,0,4.8
2022-07-25,2022,7,Medellín,Cali,Fluvial,Líquidos,CargoRápido,920.12,485.0,26.5,23.9,0.0,1133609,Entregado,,0,4.2
2022-05-03,2022,5,Cali,Neiva,Terrestre,Líquidos,CargaSur,3477.2,812.8,13.5,20.1,6.6,5328589,Entregado,,3,3.4
2020-03-30,2020,3,Manizales,Pereira,Marítimo,Peligrosa,TransColombia S.A.,17918.98,414.9,47.1,59.3,12.2,6814228,En Tránsito,,0,2.1
2020-09-30,2020,9,Bogotá,Pereira,Marítimo,Refrigerada,TransAndino,49042.88,1113.5,41.5,37.1,0.0,182655020,Retrasado,-4.5,0,4.2
2024-06-08,2024,6,Barranquilla,Bogotá,Marítimo,Peligrosa,CargoRápido,19971.38,1686.2,69.4,57.3,0.0,71319799,Entregado,,0,4.9
2020-04-07,2020,4,Armenia,Manizales,Marítimo,Peligrosa,LogiExpress,39987.19,1042.8,62.4,69.1,6.7,125058920,Entregado,,0,2.7
2023-11-18,2023,11,Santa Marta,Bucaramanga,Marítimo,General,LogiNorte,4038.46,1324.2,102.9,121.6,18.7,5965152,Entregado,,0,2.0
2021-09-19,2021,9,Santa Marta,Manizales,Fluvial,Refrigerada,TransAndino,17642.19,177.5,64.2,67.2,3.0,11955314,Entregado,7.7,0,3.4
2020-06-02,2020,6,Manizales,Neiva,Fluvial,Peligrosa,CargoRápido,40074.69,591.6,69.2,62.3,0.0,85262894,Entregado,,0,4.0
2020-05-17,2020,5,Barranquilla,Armenia,Marítimo,Peligrosa,LogiNorte,47478.41,355.1,38.7,43.1,4.4,26731001,Entregado,,0,2.6
2020-10-08,2020,10,Ibagué,Bucaramanga,Fluvial,Peligrosa,ExpressTrans,12555.62,223.7,56.1,64.5,8.4,6436695,Retrasado,,0,1.4
2021-06-17,2021,6,Neiva,Santa Marta,Aéreo,Líquidos,ExpressTrans,34729.63,1198.6,3.2,2.9,0.0,95407870,Entregado,,0,4.7
2020-06-28,2020,6,Villavicencio,Manizales,Marítimo,Peligrosa,LogiExpress,27544.86,793.6,52.8,48.1,0.0,64129341,Entregado,,0,4.2
2022-01-10,2022,1,Ibagué,Barranquilla,Terrestre,Refrigerada,CargoNacional,11913.14,766.3,14.1,16.9,2.8,15231935,Entregado,7.8,1,3.1
2020-06-25,2020,6,Medellín,Bucaramanga,Fluvial,Sobredimensionada,CargoRápido,20598.68,416.1,46.5,41.3,0.0,11900410,Entregado,,0,4.5
2022-11-25,2022,11,Bucaramanga,Cali,Aéreo,Refrigerada,LogiNorte,25192.9,1068.2,7.0,8.1,1.1,112735571,Retrasado,7.2,0,3.7
2022-11-28,2022,11,Popayán,Cartagena,Terrestre,Peligrosa,MoviCarga,31789.35,848.7,18.9,19.1,0.2,49472399,Retrasado,,4,4.1
2023-04-27,2023,4,Pasto,Cali,Aéreo,Líquidos,LogiCosta,16947.22,1123.9,2.2,3.1,0.9,65577548,Entregado,,0,4.3
2021-06-26,2021,6,Manizales,Barranquilla,Fluvial,Líquidos,TransColombia S.A.,24952.1,557.7,29.4,43.2,13.8,42878100,Entregado,,0,2.0
2021-09-01,2021,9,Santa Marta,Medellín,Terrestre,Refrigerada,TransAndino,20839.53,723.4,13.5,12.2,0.0,40005557,Entregado,-0.8,2,5.0
2020-09-24,2020,9,Villavicencio,Bucaramanga,Terrestre,Peligrosa,MoviCarga,23376.98,437.8,8.8,7.6,0.0,12542616,Entregado,,3,4.9
2022-05-06,2022,5,Barranquilla,Popayán,Aéreo,Peligrosa,LogiCosta,36084.31,389.8,3.0,4.5,1.5,111569102,Entregado,,0,4.0
2020-07-03,2020,7,Pereira,Pasto,Fluvial,Refrigerada,MoviCarga,29208.87,181.6,28.9,35.2,6.3,23129369,Entregado,-1.3,0,2.5
2020-08-08,2020,8,Pereira,Cali,Marítimo,Peligrosa,LogiNorte,18360.27,981.0,78.7,73.7,0.0,28878996,Entregado,,0,4.5
2024-04-14,2024,4,Ibagué,Cartagena,Terrestre,Refrigerada,LogiExpress,19755.8,1202.6,22.5,32.8,10.3,56720933,Entregado,-2.4,4,1.6
2020-03-23,2020,3,Bogotá,Medellín,Aéreo,Peligrosa,TransAndino,26014.7,348.9,7.4,6.6,0.0,93371524,Entregado,,0,4.4
2023-06-16,2023,6,Neiva,Popayán,Marítimo,Líquidos,CargaSur,25415.02,1166.5,71.0,84.8,13.8,40599105,Retrasado,,0,1.5
2020-08-12,2020,8,Pereira,Manizales,Marítimo,General,LogiCosta,23782.05,1944.0,99.2,133.3,34.1,117291057,Entregado,,0,1.9
2020-12-15,2020,12,Ibagué,Neiva,Fluvial,Refrigerada,MoviCarga,1675.37,766.3,18.6,15.1,0.0,1898413,Entregado,4.0,0,4.4
2024-05-06,2024,5,Pasto,Santa Marta,Terrestre,Refrigerada,CargoRápido,10446.35,521.3,7.8,9.1,1.3,6994334,Entregado,-2.7,4,3.8
2021-12-26,2021,12,Manizales,Armenia,Marítimo,Líquidos,TransAndino,9693.98,719.1,77.6,74.3,0.0,20611002,Devuelto,,0,4.3
2021-02-28,2021,2,Neiva,Villavicencio,Fluvial,Peligrosa,TransAndino,17505.28,756.9,59.7,59.2,0.0,17875938,Entregado,,0,4.4
2022-03-19,2022,3,Armenia,Bucaramanga,Aéreo,Peligrosa,TransColombia S.A.,14452.75,914.1,4.1,4.5,0.4,59671214,Entregado,,0,3.7
2023-01-08,2023,1,Cartagena,Pasto,Marítimo,Refrigerada,LogiExpress,30822.28,1297.6,47.3,60.0,12.7,91117383,En Tránsito,-4.3,0,1.6
2024-01-09,2024,1,Santa Marta,Medellín,Aéreo,General,CargoRápido,48897.74,357.9,5.9,8.4,2.5,127151486,Entregado,,0,3.3
2021-08-11,2021,8,Bucaramanga,Cartagena,Terrestre,General,LogiCosta,11687.79,1121.1,15.1,12.5,0.0,36737091,Entregado,,3,4.9
2020-12-26,2020,12,Popayán,Bogotá,Fluvial,Sobredimensionada,CargoNacional,46836.78,775.4,67.6,95.6,28.0,29791298,Entregado,,0,1.2
2021-11-17,2021,11,Cartagena,Ibagué,Fluvial,Refrigerada,CargoRápido,23454.24,275.3,18.8,17.2,0.0,13372833,Entregado,-2.6,0,4.7
2024-06-07,2024,6,Cartagena,Manizales,Aéreo,Refrigerada,LogiCosta,42821.71,1097.0,7.0,8.1,1.1,146095325,Entregado,-2.6,0,3.6
2021-10-24,2021,10,Popayán,Barranquilla,Terrestre,Peligrosa,LogiNorte,11852.51,1142.9,14.6,14.8,0.2,31253956,Entregado,,0,3.8
2022-01-06,2022,1,Neiva,Barranquilla,Terrestre,General,TransAndino,15409.64,637.9,10.6,15.1,4.5,22204483,Entregado,,2,3.2
2023-08-01,2023,8,Popayán,Cartagena,Marítimo,Líquidos,MoviCarga,11034.52,527.1,38.7,51.2,12.5,12783276,En Tránsito,,0,1.8
2022-08-22,2022,8,Villavicencio,Ibagué,Aéreo,Refrigerada,LogiCosta,43669.44,281.9,4.7,6.1,1.4,35334027,Entregado,-4.2,0,4.0
2022-11-01,2022,11,Barranquilla,Manizales,Aéreo,Refrigerada,CargaSur,42738.85,641.8,6.1,7.9,1.8,226627985,Entregado,0.8,0,3.6
2020-09-27,2020,9,Ibagué,Pereira,Fluvial,Líquidos,TransColombia S.A.,27983.98,587.3,30.5,24.9,0.0,18728808,Entregado,,0,4.2
